Movie_Title,average_sentiment_score,Movie_Rank,num_reviews,sentiment_score_ratio,Movie_Review_Rating
12th Fail,0.9406009610170828,68,1006,0.963220675944334,8.7
Klaus,0.9251607964041693,162,898,0.9643652561247216,8.2
Back to the Future,0.922176951251837,30,1617,0.9647495361781077,8.5
Maharaja,0.9211273767836806,216,494,0.937246963562753,8.4
The Shawshank Redemption,0.9135077239712724,1,11538,0.9469578783151326,9.3
Toy Story,0.910017034886199,75,818,0.9535452322738386,8.3
The Iron Giant,0.90954980400977,238,661,0.9591527987897126,8.1
Nuovo Cinema Paradiso,0.9062865512234493,46,693,0.9365079365079365,8.5
Intouchables,0.9036185814295574,48,918,0.9466230936819172,8.5
The Lion King,0.9024228114564001,36,1308,0.9334862385321101,8.5
City Lights,0.9004604913775124,54,391,0.9769820971867008,8.5
Kimi no na wa.,0.8990933257956263,84,1086,0.9171270718232044,8.4
Coco,0.8966322909182445,72,1465,0.936518771331058,8.4
Taare Zameen Par,0.8963254266665739,112,477,0.9245283018867925,8.3
Singin&apos; in the Rain,0.8932187158007394,89,842,0.9358669833729216,8.3
Terminator 2: Judgment Day,0.892531221764391,28,1641,0.926873857404022,8.6
Stand by Me,0.8889539265153463,235,882,0.937641723356009,8.1
Spider-Man: Into the Spider-Verse,0.886801179246601,63,2289,0.9183049366535605,8.4
The Wild Robot,0.885395599107308,175,962,0.918918918918919,8.2
12 Angry Men,0.8850817034249334,5,2338,0.9405474764756202,9.0
Casablanca,0.8846570877626914,45,1647,0.9289617486338798,8.5
The Godfather,0.8829302772248308,2,5874,0.9038134150493701,9.2
Star Wars: Episode V - The Empire Strikes Back,0.8825649064953756,15,1532,0.9281984334203656,8.7
Witness for the Prosecution,0.8824928346807257,64,399,0.9348370927318296,8.4
Rush,0.8815386732204018,233,708,0.922316384180791,8.1
Die Hard,0.8794108333817623,115,1246,0.9309791332263242,8.2
Rocky,0.8784717731185261,212,887,0.9289740698985344,8.1
Raiders of the Lost Ark,0.878467332401197,59,1211,0.9132947976878613,8.4
"Il buono, il brutto, il cattivo",0.8784583694890323,10,1461,0.9117043121149897,8.8
Jai Bhim,0.8784047238837338,223,3380,0.901775147928994,8.6
Dangal,0.8773108247372432,127,518,0.9054054054054054,8.3
The Sound of Music,0.8772999634716059,228,595,0.9176470588235294,8.1
The Wizard of Oz,0.8766938307731007,231,888,0.9245495495495496,8.1
La passion de Jeanne d&apos;Arc,0.8766587893953195,234,259,0.9034749034749034,8.1
Tonari no Totoro,0.8749854043702158,183,634,0.917981072555205,8.1
Sherlock Jr.,0.8747360449895908,203,388,0.9561855670103093,8.2
Bacheha-ye aseman,0.8734684026245592,186,209,0.9186602870813397,8.2
The Best Years of Our Lives,0.8718174403670299,226,377,0.9602122015915119,8.1
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,0.871491840260592,250,395,0.9012658227848102,8.2
Le fabuleux destin d&apos;Amélie Poulain,0.8706731335083331,111,1670,0.8952095808383234,8.3
How to Train Your Dragon,0.8698041791359934,196,817,0.9204406364749081,8.1
Forrest Gump,0.8696665181715117,11,3323,0.8955762864881132,8.8
"Monsters, Inc.",0.869457192994117,197,826,0.9285714285714286,8.1
Toy Story 3,0.8664046135451923,93,1026,0.9132553606237817,8.3
Babam ve Oglum,0.8656281987206464,236,152,0.8947368421052632,8.2
Mononoke-hime,0.8647935721406607,83,874,0.9084668192219679,8.3
Schindler&apos;s List,0.8638893320150085,7,2345,0.8989339019189766,9.0
Sen to Chihiro no kamikakushi,0.8638448993251687,31,1801,0.8906163242642976,8.6
Shichinin no samurai,0.8634380219973454,23,886,0.899548532731377,8.6
Green Book,0.8632769516107258,130,1873,0.9220501868659904,8.2
Ben-Hur,0.863211020738197,181,533,0.9043151969981238,8.1
Drishyam,0.8618860428351032,248,329,0.8996960486322189,8.2
Jaws,0.8599566395279392,199,1577,0.9093214965123653,8.1
Jurassic Park,0.8588295133062536,140,1530,0.8947712418300654,8.2
The Kid,0.858670146858715,138,290,0.9379310344827586,8.2
The General,0.8583373960562555,207,375,0.9386666666666666,8.1
Before Sunrise,0.8568804351872712,191,696,0.8836206896551724,8.1
The Lord of the Rings: The Return of the King,0.85677493599918,6,4398,0.8665302410186448,9.0
3 Idiots,0.8559718658580608,85,1028,0.8988326848249028,8.4
The Terminator,0.8553358482109905,218,1157,0.9273984442523768,8.1
Psycho,0.8548412774006002,35,1630,0.9165644171779141,8.5
Ford v Ferrari,0.8548075016963558,202,1740,0.8948275862068965,8.1
Ratatouille,0.8539570437269408,195,956,0.8849372384937239,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,0.8533409030385926,217,2427,0.888339513803049,8.1
Hababam Sinifi: Sinifta Kaldi,0.8520374354811793,119,6,1.0,8.7
Das Boot,0.8518274922673235,79,612,0.8954248366013072,8.4
Groundhog Day,0.8515202194476222,245,1004,0.9252988047808764,8.0
